concurso,data,numeros,numeros_str,arrecadacao,ganhadores_20,ganhadores_19,ganhadores_18,ganhadores_17,ganhadores_16,ganhadores_0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
11,2000-01-24,"[2, 3, 10, 14, 16, 25, 32, 35, 36, 41, 57, 59, 66, 67, 69, 73, 80, 84, 85, 97]",02-03-10-14-16-25-32-35-36-41-57-59-66-67-69-73-80-84-85-97,15263208,1,37,257,656,12781,6,2,3,10,14,16,25,32,35,36,41,57,59,66,67,69,73,80,84,85,97
12,2000-01-26,"[4, 13, 15, 25, 32, 38, 41, 48, 49, 55, 59, 62, 70, 75, 76, 77, 84, 89, 91, 95]",04-13-15-25-32-38-41-48-49-55-59-62-70-75-76-77-84-89-91-95,13373510,1,14,215,1407,11931,6,4,13,15,25,32,38,41,48,49,55,59,62,70,75,76,77,84,89,91,95
13,2000-01-28,"[2, 10, 15, 18, 22, 26, 35, 38, 45, 53, 56, 63, 74, 76, 77, 79, 80, 87, 91, 94]",02-10-15-18-22-26-35-38-45-53-56-63-74-76-77-79-80-87-91-94,19747454,0,37,274,731,13561,7,2,10,15,18,22,26,35,38,45,53,56,63,74,76,77,79,80,87,91,94
14,2000-01-30,"[4, 5, 10, 12, 13, 14, 21, 22, 33, 37, 38, 41, 56, 76, 77, 78, 84, 85, 90, 94]",04-05-10-12-13-14-21-22-33-37-38-41-56-76-77-78-84-85-90-94,16179616,0,50,221,1797,13358,7,4,5,10,12,13,14,21,22,33,37,38,41,56,76,77,78,84,85,90,94
15,2000-02-02,"[8, 9, 12, 13, 18, 32, 34, 36, 42, 46, 52, 67, 72, 73, 77, 79, 81, 82, 95, 99]",08-09-12-13-18-32-34-36-42-46-52-67-72-73-77-79-81-82-95-99,6127496,0,41,269,1953,14922,7,8,9,12,13,18,32,34,36,42,46,52,67,72,73,77,79,81,82,95,99
16,2000-02-04,"[0, 2, 20, 35, 41, 43, 47, 50, 51, 58, 61, 67, 72, 73, 75, 77, 88, 89, 96, 99]",00-02-20-35-41-43-47-50-51-58-61-67-72-73-75-77-88-89-96-99,6632227,1,13,174,1636,9209,6,0,2,20,35,41,43,47,50,51,58,61,67,72,73,75,77,88,89,96,99
17,2000-02-06,"[3, 29, 34, 36, 39, 40, 43, 47, 49, 50, 62, 71, 72, 82, 87, 91, 94, 96, 98, 99]",03-29-34-36-39-40-43-47-49-50-62-71-72-82-87-91-94-96-98-99,5789526,0,46,232,1351,14465,10,3,29,34,36,39,40,43,47,49,50,62,71,72,82,87,91,94,96,98,99
18,2000-02-09,"[2, 3, 6, 10, 11, 12, 20, 29, 31, 33, 36, 39, 43, 55, 57, 58, 59, 62, 67, 81]",02-03-06-10-11-12-20-29-31-33-36-39-43-55-57-58-59-62-67-81,5412817,0,10,245,1641,5118,5,2,3,6,10,11,12,20,29,31,33,36,39,43,55,57,58,59,62,67,81
19,2000-02-11,"[7, 11, 12, 22, 27, 31, 38, 49, 51, 53, 65, 66, 70, 71, 84, 85, 90, 91, 96, 99]",07-11-12-22-27-31-38-49-51-53-65-66-70-71-84-85-90-91-96-99,9893496,0,30,286,1853,11629,7,7,11,12,22,27,31,38,49,51,53,65,66,70,71,84,85,90,91,96,99
20,2000-02-13,"[0, 2, 14, 21, 26, 29, 31, 33, 43, 47, 50, 52, 56, 58, 60, 64, 74, 76, 82, 92]",00-02-14-21-26-29-31-33-43-47-50-52-56-58-60-64-74-76-82-92,13759343,1,18,181,1750,12804,6,0,2,14,21,26,29,31,33,43,47,50,52,56,58,60,64,74,76,82,92
21,2000-02-16,"[4, 13, 28, 33, 36, 39, 45, 53, 57, 67, 70, 73, 75, 76, 78, 82, 89, 92, 95, 97]",04-13-28-33-36-39-45-53-57-67-70-73-75-76-78-82-89-92-95-97,15658173,2,19,167,1054,8745,7,4,13,28,33,36,39,45,53,57,67,70,73,75,76,78,82,89,92,95,97
22,2000-02-18,"[0, 5, 8, 13, 22, 23, 27, 34, 38, 39, 55, 59, 65, 66, 69, 70, 77, 83, 88, 95]",00-05-08-13-22-23-27-34-38-39-55-59-65-66-69-70-77-83-88-95,15212534,0,40,107,1563,5060,3,0,5,8,13,22,23,27,34,38,39,55,59,65,66,69,70,77,83,88,95
23,2000-02-20,"[0, 3, 13, 16, 23, 24, 36, 50, 66, 72, 77, 79, 82, 84, 87, 88, 92, 93, 95, 96]",00-03-13-16-23-24-36-50-66-72-77-79-82-84-87-88-92-93-95-96,10046438,2,48,110,1280,10850,4,0,3,13,16,23,24,36,50,66,72,77,79,82,84,87,88,92,93,95,96
24,2000-02-22,"[5, 11, 18, 21, 29, 39, 46, 48, 51, 52, 54, 60, 62, 63, 67, 74, 76, 93, 94, 99]",05-11-18-21-29-39-46-48-51-52-54-60-62-63-67-74-76-93-94-99,19395494,0,11,198,979,14666,2,5,11,18,21,29,39,46,48,51,52,54,60,62,63,67,74,76,93,94,99
25,2000-02-25,"[1, 10, 25, 33, 35, 39, 41, 58, 61, 65, 67, 68, 73, 75, 78, 86, 91, 92, 94, 99]",01-10-25-33-35-39-41-58-61-65-67-68-73-75-78-86-91-92-94-99,6163740,1,49,117,849,11901,6,1,10,25,33,35,39,41,58,61,65,67,68,73,75,78,86,91,92,94,99
26,2000-02-27,"[8, 9, 16, 19, 34, 35, 36, 40, 44, 52, 57, 62, 66, 67, 70, 73, 74, 76, 85, 90]",08-09-16-19-34-35-36-40-44-52-57-62-66-67-70-73-74-76-85-90,6858335,0,41,73,1712,10861,10,8,9,16,19,34,35,36,40,44,52,57,62,66,67,70,73,74,76,85,90
27,2000-02-29,"[7, 12, 14, 19, 20, 37, 39, 56, 64, 71, 77, 82, 83, 87, 89, 90, 92, 93, 94, 99]",07-12-14-19-20-37-39-56-64-71-77-82-83-87-89-90-92-93-94-99,17765109,0,11,183,646,11679,8,7,12,14,19,20,37,39,56,64,71,77,82,83,87,89,90,92,93,94,99
28,2000-03-03,"[2, 7, 12, 13, 26, 28, 29, 31, 43, 44, 49, 61, 70, 75, 78, 79, 85, 89, 94, 99]",02-07-12-13-26-28-29-31-43-44-49-61-70-75-78-79-85-89-94-99,7002287,0,20,300,1280,5308,2,2,7,12,13,26,28,29,31,43,44,49,61,70,75,78,79,85,89,94,99
29,2000-03-05,"[0, 14, 15, 20, 27, 29, 30, 34, 42, 44, 50, 51, 59, 68, 69, 77, 79, 81, 82, 88]",00-14-15-20-27-29-30-34-42-44-50-51-59-68-69-77-79-81-82-88,19337083,1,6,194,1806,9565,3,0,14,15,20,27,29,30,34,42,44,50,51,59,68,69,77,79,81,82,88
30,2000-03-07,"[0, 7, 12, 18, 30, 33, 36, 40, 41, 43, 53, 62, 67, 69, 71, 72, 74, 77, 90, 92]",00-07-12-18-30-33-36-40-41-43-53-62-67-69-71-72-74-77-90-92,9988849,1,11,98,658,11043,2,0,7,12,18,30,33,36,40,41,43,53,62,67,69,71,72,74,77,90,92
31,2000-03-10,"[4, 6, 12, 18, 19, 20, 25, 27, 28, 35, 37, 43, 45, 47, 48, 50, 56, 63, 75, 85]",04-06-12-18-19-20-25-27-28-35-37-43-45-47-48-50-56-63-75-85,10440873,0,38,75,625,14294,10,4,6,12,18,19,20,25,27,28,35,37,43,45,47,48,50,56,63,75,85
32,2000-03-12,"[4, 6, 10, 12, 14, 23, 25, 26, 29, 30, 31, 33, 41, 52, 70, 77, 80, 89, 98, 99]",04-06-10-12-14-23-25-26-29-30-31-33-41-52-70-77-80-89-98-99,5908674,1,48,262,1165,8319,8,4,6,10,12,14,23,25,26,29,30,31,33,41,52,70,77,80,89,98,99
33,2000-03-14,"[0, 7, 12, 17, 19, 33, 35, 41, 47, 52, 64, 66, 72, 74, 77, 78, 85, 89, 94, 96]",00-07-12-17-19-33-35-41-47-52-64-66-72-74-77-78-85-89-94-96,8714510,2,19,227,1880,11865,5,0,7,12,17,19,33,35,41,47,52,64,66,72,74,77,78,85,89,94,96
34,2000-03-16,"[3, 7, 10, 19, 24, 29, 34, 35, 43, 61, 67, 69, 71, 72, 73, 76, 78, 81, 94, 96]",03-07-10-19-24-29-34-35-43-61-67-69-71-72-73-76-78-81-94-96,6953321,3,39,126,1408,7426,3,3,7,10,19,24,29,34,35,43,61,67,69,71,72,73,76,78,81,94,96
35,2000-03-19,"[0, 8, 9, 13, 15, 25, 29, 33, 34, 41, 52, 56, 58, 59, 63, 67, 68, 70, 71, 90]",00-08-09-13-15-25-29-33-34-41-52-56-58-59-63-67-68-70-71-90,8326311,3,6,245,1534,10804,9,0,8,9,13,15,25,29,33,34,41,52,56,58,59,63,67,68,70,71,90
36,2000-03-21,"[1, 3, 4, 7, 9, 15, 21, 22, 27, 29, 30, 39, 46, 50, 52, 64, 71, 76, 91, 92]",01-03-04-07-09-15-21-22-27-29-30-39-46-50-52-64-71-76-91-92,10205261,3,24,85,1454,6801,2,1,3,4,7,9,15,21,22,27,29,30,39,46,50,52,64,71,76,91,92
37,2000-03-23,"[2, 3, 4, 6, 14, 15, 31, 48, 56, 58, 60, 61, 69, 72, 75, 76, 77, 95, 97, 99]",02-03-04-06-14-15-31-48-56-58-60-61-69-72-75-76-77-95-97-99,16106371,0,14,251,1943,7338,3,2,3,4,6,14,15,31,48,56,58,60,61,69,72,75,76,77,95,97,99
38,2000-03-26,"[4, 6, 7, 11, 19, 28, 31, 38, 58, 59, 66, 75, 79, 80, 86, 88, 91, 92, 95, 96]",04-06-07-11-19-28-31-38-58-59-66-75-79-80-86-88-91-92-95-96,15725174,0,41,251,1317,6753,9,4,6,7,11,19,28,31,38,58,59,66,75,79,80,86,88,91,92,95,96
39,2000-03-28,"[1, 3, 16, 28, 30, 31, 38, 39, 41, 42, 43, 46, 56, 70, 72, 73, 74, 81, 86, 98]",01-03-16-28-30-31-38-39-41-42-43-46-56-70-72-73-74-81-86-98,18976186,2,27,217,719,10556,7,1,3,16,28,30,31,38,39,41,42,43,46,56,70,72,73,74,81,86,98
40,2000-03-30,"[0, 10, 11, 12, 21, 24, 26, 29, 31, 32, 39, 43, 44, 47, 56, 66, 76, 81, 85, 91]",00-10-11-12-21-24-26-29-31-32-39-43-44-47-56-66-76-81-85-91,5335504,3,30,252,1635,11335,10,0,10,11,12,21,24,26,29,31,32,39,43,44,47,56,66,76,81,85,91
41,2000-04-02,"[2, 17, 19, 29, 46, 53, 55, 58, 59, 64, 69, 70, 82, 86, 89, 90, 92, 93, 97, 99]",02-17-19-29-46-53-55-58-59-64-69-70-82-86-89-90-92-93-97-99,5713430,2,46,207,1707,11175,3,2,17,19,29,46,53,55,58,59,64,69,70,82,86,89,90,92,93,97,99
42,2000-04-04,"[4, 7, 8, 9, 46, 50, 51, 53, 54, 59, 62, 63, 64, 71, 80, 82, 87, 88, 94, 99]",04-07-08-09-46-50-51-53-54-59-62-63-64-71-80-82-87-88-94-99,13243661,2,11,120,611,13403,2,4,7,8,9,46,50,51,53,54,59,62,63,64,71,80,82,87,88,94,99
43,2000-04-06,"[2, 7, 18, 21, 25, 26, 30, 31, 36, 46, 47, 51, 58, 61, 64, 68, 75, 79, 82, 94]",02-07-18-21-25-26-30-31-36-46-47-51-58-61-64-68-75-79-82-94,13716653,0,36,251,1721,11835,10,2,7,18,21,25,26,30,31,36,46,47,51,58,61,64,68,75,79,82,94
44,2000-04-08,"[0, 4, 10, 26, 29, 31, 40, 43, 46, 47, 48, 58, 60, 68, 74, 77, 84, 85, 93, 98]",00-04-10-26-29-31-40-43-46-47-48-58-60-68-74-77-84-85-93-98,5980812,3,6,73,1943,11761,2,0,4,10,26,29,31,40,43,46,47,48,58,60,68,74,77,84,85,93,98
45,2000-04-11,"[0, 4, 8, 15, 17, 27, 31, 34, 35, 39, 40, 41, 43, 52, 67, 81, 84, 86, 87, 94]",00-04-08-15-17-27-31-34-35-39-40-41-43-52-67-81-84-86-87-94,6400324,2,24,68,1526,9653,4,0,4,8,15,17,27,31,34,35,39,40,41,43,52,67,81,84,86,87,94
46,2000-04-13,"[1, 7, 10, 15, 16, 18, 24, 27, 29, 37, 39, 42, 51, 54, 55, 56, 66, 83, 91, 94]",01-07-10-15-16-18-24-27-29-37-39-42-51-54-55-56-66-83-91-94,18189400,3,7,72,1601,8889,2,1,7,10,15,16,18,24,27,29,37,39,42,51,54,55,56,66,83,91,94
47,2000-04-15,"[4, 7, 15, 17, 25, 26, 35, 52, 56, 58, 60, 63, 64, 65, 72, 77, 78, 82, 86, 95]",04-07-15-17-25-26-35-52-56-58-60-63-64-65-72-77-78-82-86-95,11685769,1,31,65,554,11821,9,4,7,15,17,25,26,35,52,56,58,60,63,64,65,72,77,78,82,86,95
48,2000-04-18,"[10, 11, 13, 17, 18, 24, 25, 32, 49, 51, 55, 62, 65, 73, 82, 83, 87, 88, 91, 92]",10-11-13-17-18-24-25-32-49-51-55-62-65-73-82-83-87-88-91-92,7010266,2,6,195,618,9292,2,10,11,13,17,18,24,25,32,49,51,55,62,65,73,82,83,87,88,91,92
49,2000-04-20,"[4, 6, 8, 22, 23, 27, 32, 33, 37, 40, 41, 44, 57, 61, 73, 84, 95, 96, 98, 99]",04-06-08-22-23-27-32-33-37-40-41-44-57-61-73-84-95-96-98-99,18245823,3,5,121,1054,12572,9,4,6,8,22,23,27,32,33,37,40,41,44,57,61,73,84,95,96,98,99
50,2000-04-22,"[0, 20, 21, 24, 32, 35, 38, 44, 46, 48, 50, 62, 64, 67, 83, 86, 94, 97, 98, 99]",00-20-21-24-32-35-38-44-46-48-50-62-64-67-83-86-94-97-98-99,5715189,1,16,248,818,9536,4,0,20,21,24,32,35,38,44,46,48,50,62,64,67,83,86,94,97,98,99
51,2000-04-24,"[0, 19, 27, 29, 30, 32, 39, 40, 46, 56, 57, 58, 66, 68, 70, 73, 84, 90, 92, 99]",00-19-27-29-30-32-39-40-46-56-57-58-66-68-70-73-84-90-92-99,19731082,2,40,110,1318,7148,6,0,19,27,29,30,32,39,40,46,56,57,58,66,68,70,73,84,90,92,99
52,2000-04-27,"[0, 2, 4, 19, 20, 26, 39, 42, 47, 49, 50, 55, 66, 67, 69, 72, 75, 79, 81, 99]",00-02-04-19-20-26-39-42-47-49-50-55-66-67-69-72-75-79-81-99,14922560,1,32,278,869,8392,8,0,2,4,19,20,26,39,42,47,49,50,55,66,67,69,72,75,79,81,99
53,2000-04-29,"[0, 1, 9, 13, 14, 15, 38, 54, 58, 59, 64, 66, 70, 77, 85, 86, 90, 92, 93, 94]",00-01-09-13-14-15-38-54-58-59-64-66-70-77-85-86-90-92-93-94,14742476,2,49,51,1158,5853,5,0,1,9,13,14,15,38,54,58,59,64,66,70,77,85,86,90,92,93,94
54,2000-05-01,"[4, 6, 10, 15, 18, 20, 24, 35, 43, 45, 50, 53, 64, 68, 78, 79, 81, 95, 96, 99]",04-06-10-15-18-20-24-35-43-45-50-53-64-68-78-79-81-95-96-99,17412081,2,47,127,1360,11779,5,4,6,10,15,18,20,24,35,43,45,50,53,64,68,78,79,81,95,96,99
55,2000-05-04,"[5, 7, 10, 20, 24, 33, 34, 41, 43, 47, 48, 51, 53, 59, 62, 67, 69, 72, 73, 93]",05-07-10-20-24-33-34-41-43-47-48-51-53-59-62-67-69-72-73-93,7895258,1,38,92,1381,12725,5,5,7,10,20,24,33,34,41,43,47,48,51,53,59,62,67,69,72,73,93
56,2000-05-06,"[2, 16, 17, 19, 20, 23, 24, 25, 28, 29, 33, 35, 43, 47, 57, 58, 62, 69, 72, 75]",02-16-17-19-20-23-24-25-28-29-33-35-43-47-57-58-62-69-72-75,12944246,2,46,262,1274,9471,10,2,16,17,19,20,23,24,25,28,29,33,35,43,47,57,58,62,69,72,75
57,2000-05-08,"[0, 3, 4, 35, 36, 40, 44, 48, 57, 59, 61, 64, 66, 67, 69, 82, 83, 95, 98, 99]",00-03-04-35-36-40-44-48-57-59-61-64-66-67-69-82-83-95-98-99,15975235,3,9,226,1608,11510,5,0,3,4,35,36,40,44,48,57,59,61,64,66,67,69,82,83,95,98,99
58,2000-05-11,"[5, 9, 13, 19, 20, 24, 27, 30, 34, 38, 43, 52, 68, 69, 75, 79, 83, 84, 90, 94]",05-09-13-19-20-24-27-30-34-38-43-52-68-69-75-79-83-84-90-94,10634874,1,6,221,1020,9435,4,5,9,13,19,20,24,27,30,34,38,43,52,68,69,75,79,83,84,90,94
59,2000-05-13,"[2, 7, 10, 22, 23, 30, 31, 34, 41, 44, 48, 58, 59, 68, 69, 81, 82, 92, 93, 95]",02-07-10-22-23-30-31-34-41-44-48-58-59-68-69-81-82-92-93-95,19152131,1,24,172,922,14632,7,2,7,10,22,23,30,31,34,41,44,48,58,59,68,69,81,82,92,93,95
60,2000-05-15,"[8, 13, 14, 15, 31, 36, 37, 38, 43, 45, 46, 47, 49, 55, 59, 60, 86, 87, 88, 93]",08-13-14-15-31-36-37-38-43-45-46-47-49-55-59-60-86-87-88-93,17632743,1,49,94,765,11479,8,8,13,14,15,31,36,37,38,43,45,46,47,49,55,59,60,86,87,88,93
61,2000-05-18,"[0, 15, 16, 19, 22, 28, 31, 32, 36, 46, 51, 58, 64, 68, 85, 86, 94, 97, 98, 99]",00-15-16-19-22-28-31-32-36-46-51-58-64-68-85-86-94-97-98-99,19132386,2,34,256,1585,13559,10,0,15,16,19,22,28,31,32,36,46,51,58,64,68,85,86,94,97,98,99
62,2000-05-20,"[5, 9, 17, 20, 24, 25, 28, 29, 42, 53, 72, 77, 78, 80, 82, 85, 88, 89, 97, 98]",05-09-17-20-24-25-28-29-42-53-72-77-78-80-82-85-88-89-97-98,18749726,0,40,57,599,14711,10,5,9,17,20,24,25,28,29,42,53,72,77,78,80,82,85,88,89,97,98
63,2000-05-22,"[0, 5, 24, 26, 28, 29, 31, 36, 46, 49, 50, 53, 55, 60, 63, 73, 87, 88, 91, 97]",00-05-24-26-28-29-31-36-46-49-50-53-55-60-63-73-87-88-91-97,9406722,1,39,121,875,8305,6,0,5,24,26,28,29,31,36,46,49,50,53,55,60,63,73,87,88,91,97
64,2000-05-24,"[7, 8, 15, 16, 19, 21, 28, 30, 31, 32, 42, 44, 47, 51, 63, 64, 65, 85, 86, 93]",07-08-15-16-19-21-28-30-31-32-42-44-47-51-63-64-65-85-86-93,9955334,2,38,52,1168,13512,8,7,8,15,16,19,21,28,30,31,32,42,44,47,51,63,64,65,85,86,93
65,2000-05-27,"[0, 7, 9, 20, 22, 29, 31, 35, 38, 39, 49, 55, 80, 81, 82, 84, 88, 89, 97, 99]",00-07-09-20-22-29-31-35-38-39-49-55-80-81-82-84-88-89-97-99,13800112,3,16,245,1007,10469,2,0,7,9,20,22,29,31,35,38,39,49,55,80,81,82,84,88,89,97,99
66,2000-05-29,"[13, 26, 39, 44, 47, 49, 50, 51, 59, 62, 72, 73, 77, 81, 83, 84, 87, 94, 97, 98]",13-26-39-44-47-49-50-51-59-62-72-73-77-81-83-84-87-94-97-98,16248905,2,23,63,749,6493,7,13,26,39,44,47,49,50,51,59,62,72,73,77,81,83,84,87,94,97,98
67,2000-05-31,"[2, 5, 9, 14, 19, 22, 32, 37, 39, 44, 45, 54, 66, 68, 69, 73, 74, 81, 95, 99]",02-05-09-14-19-22-32-37-39-44-45-54-66-68-69-73-74-81-95-99,15005261,0,18,76,1967,11975,3,2,5,9,14,19,22,32,37,39,44,45,54,66,68,69,73,74,81,95,99
68,2000-06-03,"[6, 11, 26, 31, 32, 33, 36, 53, 54, 55, 57, 63, 68, 69, 73, 81, 83, 87, 90, 93]",06-11-26-31-32-33-36-53-54-55-57-63-68-69-73-81-83-87-90-93,7210850,1,8,105,819,5091,10,6,11,26,31,32,33,36,53,54,55,57,63,68,69,73,81,83,87,90,93
69,2000-06-05,"[5, 6, 12, 21, 28, 29, 30, 33, 38, 43, 47, 54, 55, 56, 57, 61, 66, 74, 75, 99]",05-06-12-21-28-29-30-33-38-43-47-54-55-56-57-61-66-74-75-99,6696619,3,42,155,1865,14736,3,5,6,12,21,28,29,30,33,38,43,47,54,55,56,57,61,66,74,75,99
70,2000-06-07,"[5, 6, 26, 30, 32, 41, 60, 63, 65, 66, 73, 78, 79, 84, 87, 90, 91, 96, 98, 99]",05-06-26-30-32-41-60-63-65-66-73-78-79-84-87-90-91-96-98-99,5549046,2,21,208,1087,12786,5,5,6,26,30,32,41,60,63,65,66,73,78,79,84,87,90,91,96,98,99
71,2000-06-10,"[0, 1, 6, 7, 10, 12, 17, 23, 26, 41, 65, 66, 68, 70, 72, 81, 89, 92, 94, 96]",00-01-06-07-10-12-17-23-26-41-65-66-68-70-72-81-89-92-94-96,5438767,0,42,182,1729,12680,6,0,1,6,7,10,12,17,23,26,41,65,66,68,70,72,81,89,92,94,96
72,2000-06-12,"[3, 10, 18, 32, 35, 36, 49, 50, 52, 56, 57, 62, 63, 66, 73, 81, 84, 89, 96, 98]",03-10-18-32-35-36-49-50-52-56-57-62-63-66-73-81-84-89-96-98,14816876,3,46,252,1000,10003,7,3,10,18,32,35,36,49,50,52,56,57,62,63,66,73,81,84,89,96,98
73,2000-06-14,"[7, 18, 21, 30, 37, 39, 41, 45, 48, 52, 57, 61, 64, 66, 75, 77, 85, 90, 95, 98]",07-18-21-30-37-39-41-45-48-52-57-61-64-66-75-77-85-90-95-98,19709957,0,15,196,1107,5585,7,7,18,21,30,37,39,41,45,48,52,57,61,64,66,75,77,85,90,95,98
74,2000-06-16,"[0, 14, 19, 28, 37, 43, 44, 47, 50, 57, 61, 62, 68, 72, 78, 80, 83, 92, 93, 94]",00-14-19-28-37-43-44-47-50-57-61-62-68-72-78-80-83-92-93-94,18625619,3,20,96,1958,12366,6,0,14,19,28,37,43,44,47,50,57,61,62,68,72,78,80,83,92,93,94
75,2000-06-19,"[4, 6, 16, 27, 29, 32, 42, 47, 49, 51, 58, 64, 67, 69, 75, 76, 77, 93, 97, 99]",04-06-16-27-29-32-42-47-49-51-58-64-67-69-75-76-77-93-97-99,15532331,1,7,259,1975,10335,5,4,6,16,27,29,32,42,47,49,51,58,64,67,69,75,76,77,93,97,99
76,2000-06-21,"[2, 3, 7, 25, 29, 30, 31, 38, 40, 41, 54, 55, 56, 58, 60, 61, 75, 82, 96, 99]",02-03-07-25-29-30-31-38-40-41-54-55-56-58-60-61-75-82-96-99,18519449,3,28,106,1147,13365,6,2,3,7,25,29,30,31,38,40,41,54,55,56,58,60,61,75,82,96,99
77,2000-06-23,"[1, 7, 13, 14, 19, 23, 26, 38, 42, 50, 54, 59, 71, 72, 83, 85, 88, 90, 93, 94]",01-07-13-14-19-23-26-38-42-50-54-59-71-72-83-85-88-90-93-94,13144307,1,46,284,1906,7130,3,1,7,13,14,19,23,26,38,42,50,54,59,71,72,83,85,88,90,93,94
78,2000-06-26,"[0, 2, 15, 21, 22, 29, 32, 35, 36, 37, 39, 44, 46, 59, 73, 78, 79, 81, 91, 92]",00-02-15-21-22-29-32-35-36-37-39-44-46-59-73-78-79-81-91-92,9523149,1,19,237,1155,8974,9,0,2,15,21,22,29,32,35,36,37,39,44,46,59,73,78,79,81,91,92
79,2000-06-28,"[8, 22, 24, 25, 26, 27, 31, 49, 54, 57, 60, 67, 70, 74, 80, 87, 92, 93, 98, 99]",08-22-24-25-26-27-31-49-54-57-60-67-70-74-80-87-92-93-98-99,16507871,0,32,108,1313,10359,5,8,22,24,25,26,27,31,49,54,57,60,67,70,74,80,87,92,93,98,99
80,2000-06-30,"[3, 4, 8, 23, 28, 37, 38, 39, 49, 60, 62, 67, 72, 81, 86, 93, 96, 97, 98, 99]",03-04-08-23-28-37-38-39-49-60-62-67-72-81-86-93-96-97-98-99,19850333,3,29,193,1704,12901,5,3,4,8,23,28,37,38,39,49,60,62,67,72,81,86,93,96,97,98,99
81,2000-07-03,"[9, 15, 16, 20, 32, 44, 45, 47, 53, 59, 60, 64, 68, 71, 72, 73, 80, 83, 86, 93]",09-15-16-20-32-44-45-47-53-59-60-64-68-71-72-73-80-83-86-93,7118777,1,20,251,1696,10434,3,9,15,16,20,32,44,45,47,53,59,60,64,68,71,72,73,80,83,86,93
